nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.056443,0.439155,0.003467,0.422915,0.414912,b'UP'
0.051699,0.415055,0.003467,0.422915,0.414912,b'UP'
0.051489,0.385004,0.003467,0.422915,0.414912,b'UP'
0.045485,0.314639,0.003467,0.422915,0.414912,b'UP'
0.042482,0.251116,0.003467,0.422915,0.414912,b'DOWN'
0.041161,0.207528,0.003467,0.422915,0.414912,b'DOWN'
0.041161,0.171824,0.003467,0.422915,0.414912,b'DOWN'
0.041161,0.152782,0.003467,0.422915,0.414912,b'DOWN'
0.041161,0.13493,0.003467,0.422915,0.414912,b'DOWN'
0.041161,0.140583,0.003467,0.422915,0.414912,b'DOWN'
0.044374,0.168997,0.003467,0.422915,0.414912,b'UP'
0.049868,0.212437,0.003467,0.422915,0.414912,b'UP'
0.051489,0.298721,0.003467,0.422915,0.414912,b'UP'
0.042482,0.39036,0.003467,0.422915,0.414912,b'DOWN'
0.040861,0.402261,0.003467,0.422915,0.414912,b'DOWN'
0.040711,0.462214,0.003467,0.422915,0.414912,b'DOWN'
0.040861,0.488248,0.003467,0.422915,0.414912,b'DOWN'
0.040711,0.493306,0.003467,0.422915,0.414912,b'DOWN'
0.041041,0.53258,0.003467,0.422915,0.414912,b'DOWN'
0.041161,0.546415,0.003467,0.422915,0.414912,b'DOWN'
0.044374,0.53496,0.003467,0.422915,0.414912,b'UP'
0.044374,0.51681,0.003467,0.422915,0.414912,b'UP'
0.044374,0.513984,0.003467,0.422915,0.414912,b'UP'
0.045485,0.513835,0.003467,0.422915,0.414912,b'UP'
0.044374,0.505356,0.003467,0.422915,0.414912,b'UP'
0.044374,0.497917,0.003467,0.422915,0.414912,b'UP'
0.042482,0.499554,0.003467,0.422915,0.414912,b'DOWN'
0.044374,0.491669,0.003467,0.422915,0.414912,b'UP'
0.044374,0.489735,0.003467,0.422915,0.414912,b'UP'
0.042482,0.47709,0.003467,0.422915,0.414912,b'DOWN'
0.040861,0.466825,0.003467,0.422915,0.414912,b'DOWN'
0.041161,0.478132,0.003467,0.422915,0.414912,b'DOWN'
0.041161,0.484975,0.003467,0.422915,0.414912,b'DOWN'
0.041161,0.503124,0.003467,0.422915,0.414912,b'DOWN'
0.042482,0.55296,0.003467,0.422915,0.414912,b'DOWN'
0.044374,0.612318,0.003467,0.422915,0.414912,b'UP'
0.041041,0.587623,0.003467,0.422915,0.414912,b'DOWN'
0.040711,0.546861,0.003467,0.422915,0.414912,b'DOWN'
0.040711,0.497025,0.003467,0.422915,0.414912,b'DOWN'
0.040861,0.470693,0.003467,0.422915,0.414912,b'DOWN'
0.041041,0.446296,0.003467,0.422915,0.414912,b'DOWN'
0.042482,0.412229,0.003467,0.422915,0.414912,b'DOWN'
0.041161,0.368789,0.003467,0.422915,0.414912,b'DOWN'
0.051489,0.34573,0.003467,0.422915,0.414912,b'UP'
0.056443,0.40479,0.003467,0.422915,0.414912,b'UP'
0.054642,0.42889,0.003467,0.422915,0.414912,b'UP'
0.059235,0.445254,0.003467,0.422915,0.414912,b'UP'
0.054642,0.44094,0.003467,0.422915,0.414912,b'UP'
0.059235,0.442874,0.003467,0.422915,0.414912,b'UP'
0.056443,0.41089,0.003467,0.422915,0.414912,b'UP'
0.051489,0.378905,0.003467,0.422915,0.414912,b'UP'
0.044374,0.316721,0.003467,0.422915,0.414912,b'DOWN'
0.041041,0.257959,0.003467,0.422915,0.414912,b'DOWN'
0.041161,0.214073,0.003467,0.422915,0.414912,b'DOWN'